CustomerID,CustomerName,Age,Gender,IncomeLevel,LoyaltyScore,CustomerSegment,Location,ProductID,Category,SubCategory,Brand,CostPrice,SellingPrice,DiscountOffered,PurchaseQuantity,UnitPrice,PaymentMethod,DateOfPurchase,SalesChannel,PaymentStatus
1051,Customer_0,51,Male,Low,82,C,Hyderabad,2943,Clothing,Makeup,BrandZ,456,1184,10,2,1121,Credit Card,2023-01-01,Offline,Paid
1092,Customer_1,64,Female,Low,92,B,Mumbai,2038,Beauty,Furniture,BrandZ,756,275,15,1,633,Cash,2023-01-02,Online,Paid
1014,Customer_2,25,Female,Medium,51,B,Mumbai,2488,Clothing,Makeup,BrandZ,843,455,5,1,1078,Cash,2023-01-03,Offline,Paid
1071,Customer_3,57,Male,High,47,B,Delhi,2643,Beauty,Makeup,BrandX,971,777,20,3,298,Net Banking,2023-01-04,Offline,Pending
1060,Customer_4,61,Female,Medium,4,C,Bangalore,2541,Beauty,Shirts,BrandY,303,838,0,4,1136,UPI,2023-01-05,Offline,Pending
1020,Customer_5,36,Male,High,7,C,Bangalore,2669,Electronics,Furniture,BrandX,312,1187,15,4,733,Cash,2023-01-06,Online,Paid
1082,Customer_6,59,Male,Medium,35,C,Mumbai,2277,Beauty,Makeup,BrandY,651,430,10,2,397,Cash,2023-01-07,Offline,Paid
1086,Customer_7,58,Male,Medium,48,C,Delhi,2202,Clothing,Makeup,BrandX,886,592,5,4,851,Credit Card,2023-01-08,Online,Paid
1074,Customer_8,54,Male,Low,73,A,Hyderabad,2065,Beauty,Shirts,BrandZ,422,986,20,3,245,Net Banking,2023-01-09,Online,Paid
1074,Customer_9,23,Female,High,72,B,Bangalore,2107,Home,Shirts,BrandZ,693,538,15,2,431,Credit Card,2023-01-10,Online,Paid
1087,Customer_10,43,Male,Medium,45,C,Mumbai,2267,Electronics,Mobile,BrandY,280,766,20,2,471,UPI,2023-01-11,Online,Pending
1099,Customer_11,51,Female,Medium,81,B,Bangalore,2221,Electronics,Makeup,BrandY,598,296,20,2,678,Net Banking,2023-01-12,Offline,Pending
1023,Customer_12,62,Female,Low,81,B,Bangalore,2803,Home,Mobile,BrandX,419,670,10,4,412,Credit Card,2023-01-13,Online,Pending
1002,Customer_13,23,Female,Low,97,A,Hyderabad,2529,Home,Makeup,BrandY,182,779,15,4,729,Cash,2023-01-14,Online,Pending
1021,Customer_14,54,Female,High,96,C,Delhi,2089,Home,Mobile,BrandX,402,583,5,4,443,Cash,2023-01-15,Offline,Paid
1052,Customer_15,50,Male,Medium,72,C,Hyderabad,2692,Beauty,Shirts,BrandY,361,293,10,2,544,Net Banking,2023-01-16,Online,Paid
1001,Customer_16,39,Female,High,19,B,Delhi,2254,Electronics,Furniture,BrandY,883,438,5,2,662,Cash,2023-01-17,Online,Pending
1087,Customer_17,38,Male,Medium,63,C,Bangalore,2454,Home,Shirts,BrandY,299,163,0,1,1070,Credit Card,2023-01-18,Online,Pending
1029,Customer_18,23,Female,High,38,B,Mumbai,2252,Beauty,Mobile,BrandZ,339,406,20,1,959,Net Banking,2023-01-19,Online,Paid
1037,Customer_19,23,Female,Low,67,B,Hyderabad,2256,Home,Mobile,BrandZ,791,1007,0,4,1069,Cash,2023-01-20,Online,Pending
1001,Customer_20,21,Male,Medium,59,A,Delhi,2382,Clothing,Furniture,BrandX,782,1092,20,2,842,Cash,2023-01-21,Online,Paid
1063,Customer_21,47,Male,High,69,A,Bangalore,2441,Clothing,Makeup,BrandY,394,613,10,4,384,UPI,2023-01-22,Offline,Paid
1059,Customer_22,28,Male,Low,13,A,Delhi,2857,Electronics,Mobile,BrandX,611,419,5,4,1101,UPI,2023-01-23,Offline,Paid
1020,Customer_23,47,Female,Low,47,B,Delhi,2598,Beauty,Mobile,BrandY,788,772,5,1,1181,Net Banking,2023-01-24,Offline,Pending
1032,Customer_24,48,Female,High,61,C,Delhi,2089,Clothing,Mobile,BrandZ,980,221,10,3,688,UPI,2023-01-25,Offline,Pending
1075,Customer_25,41,Male,Medium,31,A,Bangalore,2748,Clothing,Furniture,BrandZ,495,223,15,4,969,Credit Card,2023-01-26,Online,Pending
1057,Customer_26,26,Male,Medium,80,C,Mumbai,2389,Beauty,Shirts,BrandY,848,504,0,3,421,Cash,2023-01-27,Online,Pending
1021,Customer_27,20,Male,Low,96,A,Mumbai,2581,Home,Mobile,BrandY,237,646,0,3,1178,Cash,2023-01-28,Online,Pending
1088,Customer_28,48,Male,Medium,22,A,Mumbai,2043,Beauty,Furniture,BrandZ,938,1137,5,2,742,Cash,2023-01-29,Offline,Paid
1048,Customer_29,57,Female,Medium,93,B,Delhi,2711,Home,Mobile,BrandZ,977,729,5,2,1125,Net Banking,2023-01-30,Offline,Pending
1090,Customer_30,54,Male,Medium,86,A,Bangalore,2663,Clothing,Makeup,BrandX,922,1059,5,4,264,Net Banking,2023-01-31,Online,Paid
1058,Customer_31,53,Male,Low,43,A,Delhi,2597,Clothing,Furniture,BrandZ,228,522,10,1,412,UPI,2023-02-01,Online,Paid
1041,Customer_32,41,Male,High,67,B,Mumbai,2018,Clothing,Mobile,BrandY,148,511,15,1,356,Cash,2023-02-02,Offline,Paid
1091,Customer_33,48,Male,Medium,54,C,Mumbai,2100,Electronics,Furniture,BrandX,775,242,0,4,452,Cash,2023-02-03,Offline,Pending
1059,Customer_34,23,Female,Low,10,A,Bangalore,2913,Electronics,Mobile,BrandY,888,473,20,4,261,Cash,2023-02-04,Offline,Pending
1079,Customer_35,19,Male,Low,42,B,Delhi,2606,Electronics,Shirts,BrandX,392,533,10,1,334,Cash,2023-02-05,Offline,Pending
1014,Customer_36,37,Female,High,64,A,Hyderabad,2765,Beauty,Mobile,BrandY,727,724,0,3,1050,Cash,2023-02-06,Online,Pending
1061,Customer_37,45,Male,Medium,21,B,Hyderabad,2356,Clothing,Furniture,BrandZ,635,885,15,4,370,Credit Card,2023-02-07,Offline,Pending
1061,Customer_38,28,Male,Medium,80,C,Mumbai,2541,Clothing,Makeup,BrandY,410,886,10,3,1047,Cash,2023-02-08,Offline,Pending
1046,Customer_39,21,Female,High,76,C,Bangalore,2760,Beauty,Makeup,BrandX,636,495,0,4,771,Credit Card,2023-02-09,Online,Pending
1061,Customer_40,32,Male,High,66,B,Delhi,2937,Electronics,Makeup,BrandY,738,868,10,4,576,Cash,2023-02-10,Online,Pending
1050,Customer_41,23,Female,Low,41,B,Delhi,2032,Beauty,Mobile,BrandX,333,930,0,3,793,Net Banking,2023-02-11,Online,Paid
1054,Customer_42,47,Female,Low,24,B,Mumbai,2969,Electronics,Shirts,BrandY,308,1169,0,3,717,Net Banking,2023-02-12,Offline,Pending
1063,Customer_43,55,Male,High,35,C,Mumbai,2228,Clothing,Mobile,BrandZ,704,813,15,1,592,Credit Card,2023-02-13,Offline,Paid
1002,Customer_44,19,Female,Medium,56,A,Delhi,2523,Home,Makeup,BrandZ,193,749,20,4,750,Cash,2023-02-14,Offline,Paid
1050,Customer_45,32,Female,Low,30,C,Delhi,2629,Electronics,Furniture,BrandY,426,160,15,2,653,Net Banking,2023-02-15,Offline,Paid
1006,Customer_46,28,Female,Low,57,B,Mumbai,2861,Clothing,Makeup,BrandY,324,336,0,2,280,Net Banking,2023-02-16,Online,Paid
1020,Customer_47,25,Female,Medium,94,B,Delhi,2154,Clothing,Furniture,BrandY,989,875,10,4,367,Cash,2023-02-17,Online,Pending
1072,Customer_48,43,Female,Low,47,C,Hyderabad,2422,Home,Shirts,BrandX,891,1188,15,4,837,Cash,2023-02-18,Offline,Pending
1038,Customer_49,62,Female,Medium,35,B,Mumbai,2904,Clothing,Furniture,BrandY,110,927,20,4,320,Net Banking,2023-02-19,Offline,Paid
1017,Customer_50,61,Female,Medium,19,C,Delhi,2245,Clothing,Mobile,BrandY,428,560,0,3,761,Cash,2023-02-20,Offline,Paid
1003,Customer_51,22,Female,Medium,8,B,Mumbai,2404,Electronics,Mobile,BrandX,111,1105,15,2,1141,UPI,2023-02-21,Online,Paid
1088,Customer_52,23,Male,High,26,A,Bangalore,2843,Electronics,Mobile,BrandZ,134,734,15,2,206,Cash,2023-02-22,Offline,Pending
1059,Customer_53,43,Male,High,71,A,Mumbai,2758,Home,Furniture,BrandY,546,726,15,2,395,Net Banking,2023-02-23,Online,Paid
1013,Customer_54,21,Female,High,30,B,Mumbai,2540,Home,Mobile,BrandY,551,1190,15,4,293,Net Banking,2023-02-24,Offline,Paid
1008,Customer_55,36,Male,Medium,7,C,Bangalore,2160,Clothing,Mobile,BrandZ,839,1138,10,3,517,Credit Card,2023-02-25,Online,Pending
1089,Customer_56,37,Female,Medium,67,A,Hyderabad,2746,Electronics,Mobile,BrandZ,319,892,20,4,367,UPI,2023-02-26,Online,Paid
1052,Customer_57,50,Female,High,65,C,Delhi,2701,Home,Shirts,BrandX,540,353,20,1,765,Net Banking,2023-02-27,Offline,Pending
1001,Customer_58,37,Male,Low,36,B,Bangalore,2116,Home,Furniture,BrandY,752,1123,0,1,591,UPI,2023-02-28,Online,Pending
1083,Customer_59,29,Female,Medium,25,C,Mumbai,2270,Beauty,Furniture,BrandY,634,1089,5,2,990,Cash,2023-03-01,Online,Paid
1091,Customer_60,64,Female,Low,37,A,Delhi,2769,Home,Makeup,BrandX,694,254,10,4,1105,Net Banking,2023-03-02,Offline,Paid
